Sequencing_ID	new_genotype
PN11_SID977	Zl.0040_P4_P4_P2.4.1.1
PN11_SID978	Zl.0040_P4_P5_P1.1.1.1
PN11_SID979	Zl.0040_P4_P5_P1.3.1.1
PN11_SID980	Zl.0040_P4_P5_P1.5.1.1
PN11_SID981	Zl.0040_P4_P5_P2.1.1.1
PN11_SID982	Zl.0040_P4_P5_P2.4.1.1
PN11_SID983	Zl.0030_P2_P1_P1.1.1.1
PN11_SID984	Zl.0030_P2_P1_P1.3.1.1
PN11_SID985	Zl.0030_P2_P1_P1.4.1.1
PN11_SID986	Zl.0030_P2_P2_P1.1.1.1
PN11_SID987	Zl.0030_P2_P2_P1.2.1.1
PN11_SID988	Zl.0030_P2_P2_P1.3.1.1
PN11_SID989	Zl.0030_P2_P3_P1.1.1.1
PN11_SID990	Zl.0030_P2_P4_P1.1.1.1
PN11_SID991	Zl.0030_P2_P4_P1.2.1.1
PN11_SID992	Zl.0030_P2_P4_P1.3.1.1
PN11_SID993	Zv.0050_P1_P1_P1.1.1.1
PN11_SID994	Zv.0050_P1_P1_P1.2.1.1
PN11_SID995	Zv.0050_P1_P2_P1.1.1.1
PN11_SID996	Zv.0050_P1_P2_P1.2.1.1
PN11_SID997	Zv.0050_P1_P3_P1.1.1.1
PN11_SID998	Zv.0050_P1_P4_P1.2.1.1
PN11_SID999	Zv.0050_P1_P5_P1.1.1.1
PN12_SID1057	Zv.0070_P4_P2_P1.2.1.1
PN12_SID1058	Zv.0070_P4_P2_P2.1.1.1
PN12_SID1059	Zv.0070_P4_P4_P1.1.1.1
PN12_SID1060	Zv.0070_P4_P4_P1.2.1.1
PN12_SID1061	Zv.0070_P4_P4_P2.1.1.1
PN12_SID1062	Zv.0070_P4_P5_P1.1.1.1
PN12_SID1063	Zv.0070_P4_P5_P1.2.1.1
PN12_SID1064	Zv.0070_P4_P5_P2.1.1.1
PN12_SID1065	Zv.0420_P3_P1_P1.1.1.1
PN12_SID1066	Zv.0420_P3_P1_P1.3.1.1
PN12_SID1067	Zv.0420_P3_P1_P2.2.1.1
PN12_SID1068	Zv.0420_P3_P2_P1.1.1.1
PN12_SID1069	Zv.0420_P3_P2_P1.2.1.1
PN12_SID1070	Zv.0420_P3_P2_P2.1.1.1
PN12_SID1071	Zv.0420_P3_P2_P2.2.1.1
PN12_SID1072	Zv.0420_P3_P3_P1.1.1.1
PN12_SID1073	Zv.0420_P3_P3_P1.2.1.1
PN12_SID1074	Zv.0420_P3_P3_P2.1.1.1
PN12_SID1075	Zv.0420_P3_P3_P2.2.1.1
PN12_SID1076	Zv.0420_P3_P4_P1.2.1.1
PN12_SID1077	Zv.0420_P3_P4_P2.1.1.1
PN12_SID1078	Zv.0420_P3_P4_P2.2.1.1
PN12_SID1079	Zv.0410_P2_P1_P1.1.1.1
PN12_SID1080	Zv.0410_P2_P1_P1.2.1.1
PN12_SID1081	Zv.0410_P2_P1_P2.2.1.1
PN12_SID1082	Zv.0410_P2_P3_P1.1.1.1
PN12_SID1083	Zv.0410_P2_P3_P1.3.1.1
PN12_SID1084	Zv.0410_P2_P3_P2.1.1.1
PN12_SID1085	Zv.0410_P2_P3_P2.2.1.1
PN12_SID1086	Zv.0410_P2_P4_P1.2.1.1
PN12_SID1087	Zv.0410_P2_P4_P2.1.1.1
PN12_SID1088	Zv.0410_P2_P4_P2.2.1.1
PN12_SID1089	Zv.0410_P2_P5_P1.1.1.1
PN12_SID1090	Zv.0410_P2_P5_P1.2.1.1
PN12_SID1091	Zv.0200_P3_P2_P1.1.1.1
PN12_SID1092	Zv.0200_P3_P2_P2.2.1.1
PN12_SID1093	Zv.0200_P3_P4_P1.1.1.1
PN12_SID1094	Zv.0200_P3_P4_P1.2.1.1
PN12_SID1095	Zv.0200_P3_P4_P2.1.1.1
PN12_SID1096	Zv.0200_P3_P5_P1.1.1.1
PN12_SID1097	Zv.0080_P2_P1_P1.1.1.1
PN12_SID1098	Zv.0080_P2_P1_P1.2.1.1
PN12_SID1099	Zv.0080_P2_P1_P2.1.1.1
PN12_SID1100	Zv.0080_P2_P1_P2.2.1.1
PN12_SID1101	Zv.0080_P2_P3_P1.1.1.1
PN12_SID1102	Zv.0080_P2_P3_P1.2.1.1
PN12_SID1103	Zv.0080_P2_P4_P1.1.1.1
PN12_SID1104	Zv.0080_P2_P4_P1.2.1.1
PN12_SID1105	Zv.0080_P2_P4_P2.1.1.1
PN12_SID1106	Zv.0080_P2_P4_P2.2.1.1
PN12_SID1107	Zv.0080_P2_P5_P1.2.1.1
PN12_SID1108	Zv.0080_P2_P5_P1.3.1.1
PN12_SID1109	Zv.0120_P2_P2_P1.2.1.1
PN12_SID1110	Zv.0120_P2_P2_P2.2.1.1
PN12_SID1111	Zv.0120_P2_P3_P1.1.1.1
PN12_SID1112	Zv.0120_P2_P3_P2.1.1.1
PN12_SID1113	Zv.0120_P2_P4_P1.1.1.1
PN12_SID1114	Zv.0120_P2_P4_P1.2.1.1
PN12_SID1115	Zv.0120_P2_P4_P2.1.1.1
PN12_SID1116	Zv.0120_P2_P5_P1.1.1.1
PN12_SID1117	Zv.0120_P2_P5_P1.2.1.1
PN12_SID1118	Zv.0120_P2_P5_P2.1.1.1
PN12_SID1119	Zv.0120_P2_P5_P2.2.1.1
PN12_SID1120	Zv.0110_P1_P2_P1.1.1.1
PN12_SID1121	Zv.0110_P1_P2_P1.2.1.1
PN12_SID1122	Zv.0110_P1_P4_P1.1.1.1
PN12_SID1123	Zv.0110_P1_P4_P1.2.1.1
PN12_SID1124	Zv.0110_P1_P4_P2.1.1.1
